objectid,filename,title,format,latitude,longitude,date,subject,location,description,language
001,C2-G2-001,Intersección calle Kaiser con torre de reloj,application/pdf,50.110556,8.682222,1911,Intersección; peatones; carroza; caballos,"Torre del reloj, Frankfurt, Alemania","fotografía sepia de la intersección entre la calle del Kaiser con la torre del reloj
",De
002,C2-G2-002,Grand Hotel Frankfurter Hof,application/pdf,50.115278,8.684167,1911,Grand Hotel; peatones; carroza; caballos,"Grand Hotel Frankfurter Hof, Frankfurt, Alemania",Ilustración a color del Grand Hotel Frankfurter Hof,De
003,C2-G2-003,Puente en el lago del Zoologier Garten,application/pdf,52.512587,13.335608,1911,Puente; edificio; peatones; lago,"Zoologier garten, Frankfurt, Alemania",Ilustración en blanco y negro del puente en el jardín zoológico de Frankfurt,De
004,C2-G2-004,Iglesia y pueblo de Frankfurt,application/pdf,50.110359,8.682314,1911,Iglesia; casas; peatones,"Frankfurt, Alemania",Fotografía a color de la iglesia y pueblo de Frankfurt,De
005,C2-G2-005,Puente de la iglesia,application/pdf,50.115278,8.684167,1911,Iglesia; puente;arboles,"Bad Nauheim, Frankfurt, Alemania",Ilustración a color del puente que conduce a la iglesia en Bad Nauheim,De
006,C2-G2-006,Wallraffsplatz y calle principal,application/pdf,49.412388,8.709677,1911,Plaza; edificios; peatones; carrozas; caballos,"Wallraffsplatz, Frankfurt, Alemania",Fotografía sepia de la Wallraffsplatz y calle principal,De
007,C2-G2-007,Castillo en el lago de Heidelberg,application/pdf,49.410680,8.715530,1911,Torre; barco; ruinas; lago; muelle; personas,"Heidelberg, Alemania",Ilustración a color de la torre en el lago de Heildelberg,De
008,C2-G2-008,Terraza de la kurhaus,application/pdf,52.114461,4.278791,1911,Kurhaus balneario; terraza; peatones,"Bad Nauheim, Frankfurt, Alemania",Ilustración a color de la terraza de la kurhaus,De
009,C2-G2-009,Escalera de entrada a la kurhaus,application/pdf,52.114461,4.278791,1911,Kurhaus balneario; escaleras; peatón,"Bad Nauheim, Frankfurt, Alemania",Ilustración a color de la entrada de la kurhaus,De
010,C2-G2-010,Lado sur de la catedral,application/pdf,50.110922,8.682127,1911,Catedral; edificios,"Frankfurt, Alemania",Fotografía sepia del lado sur de la catedral,De
011,C2-G2-011,Teckels de pelo largo,application/pdf,50.115278,8.684167,1911,Teckel negro; teckel café; animales; perros,"Frankfurt, Alemania",Ilustración a color de un par de perros raza Dachshund,De
012,C2-G2-012,Jardín del Grand Hotel Frankfurter Hof,application/pdf,50.111162,8.674908,1911,Grand Hotel; jardín; peatones; carroza; caballos,"Grand Hotel Frankfurter Hof, Frankfurt, Alemania",Ilustración a color del jardín del Grand Hotel  Frankfurter Hof,De
013,C2-G2-013,Basílica de San Antonio ,application/pdf,45.401245,11.880337,1912,Basílica; edificios,"Padua, Italia",Ilustración a color de la Basílica de San Antonio,It
014,C2-G2-014,Prado del valle y canal ecicloidal,application/pdf,45.407969,11.885861,1912,Canal; edificios; puente,"Padua, Italia",Ilustración a color del canal ecicloidal,It
